A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
H,HadsInt,0.1347,False,0.5907,small
H,Hsi,0.0970,False,0.6007,small
H,SPY,0.8056,False,0.4849,negligible
H,SPYH,0.0727,False,0.3913,small
H,W,0.0000,True,0.2042,large
H,Wp,0.5475,False,0.4634,negligible
HadsInt,Hsi,0.7047,False,0.5232,negligible
HadsInt,SPY,0.0986,False,0.3998,small
HadsInt,SPYH,0.0007,True,0.2958,medium
HadsInt,W,0.0000,True,0.1226,large
HadsInt,Wp,0.0063,True,0.3346,medium
Hsi,SPY,0.0495,True,0.3809,small
Hsi,SPYH,0.0004,True,0.2850,medium
Hsi,W,0.0000,True,0.1146,large
Hsi,Wp,0.0017,True,0.3095,medium
SPY,SPYH,0.1207,False,0.4060,small
SPY,W,0.0000,True,0.1990,large
SPY,Wp,0.4943,False,0.4584,negligible
SPYH,W,0.0001,True,0.2689,medium
SPYH,Wp,0.1752,False,0.5822,small
W,Wp,0.0000,True,0.8164,large
