A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
"H-ADS,2","H-ADS,3",0.4179,False,0.5068,negligible
"H-ADS,2","HSI,2",0.9896,False,0.4999,negligible
"H-ADS,2","HSI,3",0.4367,False,0.5066,negligible
"H-ADS,2","I-ADS,2",0.2265,False,0.5102,negligible
"H-ADS,2","I-ADS,3",0.9973,False,0.5000,negligible
"H-ADS,2","W,2",0.0007,True,0.4713,negligible
"H-ADS,2","W,3",0.0153,True,0.4795,negligible
"H-ADS,2","Wp,2",0.2537,False,0.4904,negligible
"H-ADS,2","Wp,3",0.7025,False,0.4968,negligible
"H-ADS,3","HSI,2",0.4071,False,0.4930,negligible
"H-ADS,3","HSI,3",0.9769,False,0.4998,negligible
"H-ADS,3","I-ADS,2",0.6918,False,0.5033,negligible
"H-ADS,3","I-ADS,3",0.4453,False,0.4936,negligible
"H-ADS,3","W,2",0.0000,True,0.4650,negligible
"H-ADS,3","W,3",0.0015,True,0.4733,negligible
"H-ADS,3","Wp,2",0.0507,False,0.4835,negligible
"H-ADS,3","Wp,3",0.2453,False,0.4902,negligible
"HSI,2","HSI,3",0.4260,False,0.5067,negligible
"HSI,2","I-ADS,2",0.2201,False,0.5103,negligible
"HSI,2","I-ADS,3",0.9821,False,0.5002,negligible
"HSI,2","W,2",0.0007,True,0.4715,negligible
"HSI,2","W,3",0.0160,True,0.4797,negligible
"HSI,2","Wp,2",0.2607,False,0.4905,negligible
"HSI,2","Wp,3",0.7146,False,0.4969,negligible
"HSI,3","I-ADS,2",0.6704,False,0.5036,negligible
"HSI,3","I-ADS,3",0.4631,False,0.4938,negligible
"HSI,3","W,2",0.0000,True,0.4651,negligible
"HSI,3","W,3",0.0017,True,0.4735,negligible
"HSI,3","Wp,2",0.0537,False,0.4837,negligible
"HSI,3","Wp,3",0.2573,False,0.4905,negligible
"I-ADS,2","I-ADS,3",0.2311,False,0.4899,negligible
"I-ADS,2","W,2",0.0000,True,0.4622,negligible
"I-ADS,2","W,3",0.0005,True,0.4705,negligible
"I-ADS,2","Wp,2",0.0203,True,0.4804,negligible
"I-ADS,2","Wp,3",0.1244,False,0.4870,negligible
"I-ADS,3","W,2",0.0010,True,0.4723,negligible
"I-ADS,3","W,3",0.0186,True,0.4802,negligible
"I-ADS,3","Wp,2",0.2656,False,0.4906,negligible
"I-ADS,3","Wp,3",0.6983,False,0.4967,negligible
"W,2","W,3",0.3945,False,0.5072,negligible
"W,2","Wp,2",0.0212,True,0.5194,negligible
"W,2","Wp,3",0.0035,True,0.5246,negligible
"W,3","Wp,2",0.1801,False,0.5113,negligible
"W,3","Wp,3",0.0468,True,0.5168,negligible
"Wp,2","Wp,3",0.4636,False,0.5062,negligible
