A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
"HadsInt,2","HadsInt,3",0.0912,False,0.5142,negligible
"HadsInt,2","Hsi,2",0.9128,False,0.4991,negligible
"HadsInt,2","Hsi,3",0.1081,False,0.5135,negligible
"HadsInt,2","W,2",0.0000,True,0.5675,negligible
"HadsInt,2","W,3",0.0000,True,0.5748,small
"HadsInt,2","Wp,2",0.0024,True,0.5255,negligible
"HadsInt,2","Wp,3",0.0000,True,0.5394,negligible
"HadsInt,3","Hsi,2",0.0726,False,0.4849,negligible
"HadsInt,3","Hsi,3",0.9421,False,0.4994,negligible
"HadsInt,3","W,2",0.0000,True,0.5542,negligible
"HadsInt,3","W,3",0.0000,True,0.5619,negligible
"HadsInt,3","Wp,2",0.1761,False,0.5114,negligible
"HadsInt,3","Wp,3",0.0025,True,0.5255,negligible
"Hsi,2","Hsi,3",0.0867,False,0.5144,negligible
"Hsi,2","W,2",0.0000,True,0.5683,negligible
"Hsi,2","W,3",0.0000,True,0.5756,small
"Hsi,2","Wp,2",0.0017,True,0.5264,negligible
"Hsi,2","Wp,3",0.0000,True,0.5402,negligible
"Hsi,3","W,2",0.0000,True,0.5545,negligible
"Hsi,3","W,3",0.0000,True,0.5623,negligible
"Hsi,3","Wp,2",0.1580,False,0.5119,negligible
"Hsi,3","Wp,3",0.0021,True,0.5259,negligible
"W,2","W,3",0.3131,False,0.5085,negligible
"W,2","Wp,2",0.0000,True,0.4565,negligible
"W,2","Wp,3",0.0004,True,0.4703,negligible
"W,3","Wp,2",0.0000,True,0.4486,negligible
"W,3","Wp,3",0.0000,True,0.4619,negligible
"Wp,2","Wp,3",0.0929,False,0.5142,negligible
