A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
W,Wp,0.2641,False,0.5678,negligible
W,HSI,0.0577,False,0.6151,small
W,H,0.0046,True,0.6716,medium
W,SPY,0.0572,False,0.6153,small
W,SPY-H,0.0403,True,0.6243,small
W,H-ADS,0.0447,True,0.6217,small
W,I-ADS,0.0593,False,0.6144,small
Wp,HSI,0.3967,False,0.5515,negligible
Wp,H,0.0542,False,0.6167,small
Wp,SPY,0.3348,False,0.5586,negligible
Wp,SPY-H,0.2864,False,0.5647,negligible
Wp,H-ADS,0.2934,False,0.5638,negligible
Wp,I-ADS,0.2461,False,0.5704,negligible
HSI,H,0.1908,False,0.5794,small
HSI,SPY,0.8666,False,0.5104,negligible
HSI,SPY-H,0.7577,False,0.5189,negligible
HSI,H-ADS,0.8912,False,0.5085,negligible
HSI,I-ADS,0.6310,False,0.5293,negligible
H,SPY,0.1518,False,0.4130,small
H,SPY-H,0.1989,False,0.4220,small
H,H-ADS,0.2216,False,0.4258,small
H,I-ADS,0.3309,False,0.4409,negligible
SPY,SPY-H,0.9160,False,0.5066,negligible
SPY,H-ADS,0.9471,False,0.4957,negligible
SPY,I-ADS,0.5607,False,0.5354,negligible
SPY-H,H-ADS,0.8666,False,0.4896,negligible
SPY-H,I-ADS,0.9533,False,0.5038,negligible
H-ADS,I-ADS,0.6534,False,0.5274,negligible
