Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,GnuTLS_3.3.12_server_regular.dot,7,8,Compressed,"['8/8', '15/38', '15/55', '8/32', '14/78']","['1/2', '28/140', '336/1679', '1849/9259']","[1, 2, 4, 5]",413516,60,211,2214,11080,5,56,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,GnuTLS_3.3.12_client_regular.dot,7,8,Compressed,"['8/8', '15/38', '15/55', '8/32', '14/78']","['1/2', '28/140', '336/1679', '1849/9259']","[1, 2, 4, 5]",413516,60,211,2214,11080,5,39,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,DropBear.dot,17,13,Compressed,"['13/13', '25/63', '80/253', '65/202', '49/267', '63/464', '81/679', '38/376', '43/340', '47/418', '29/206', '30/215']","['1/2', '15/75', '72/359', '691/4073', '28470/154031', '25766/138814', '6877/34475', '27056/300987', '99/534', '3001/36536', '3156/35838']","[1, 2, 5, 6, 8, 10, 12, 13, 14, 15, 16]",22653436,563,3496,95204,705724,12,7824,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,model1.dot,35,15,Compressed,"['15/15', '403/5471', '44/579', '41/513', '67/1025', '50/694', '49/843', '85/1224', '48/883']","['2/4', '1/7', '44117/427720', '429/1851', '638/3620', '2124/19478', '29205/282324', '3104/31280']","[1, 27, 28, 29, 30, 31, 32, 34]",13613748,802,11247,79620,766284,9,3496,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.1l_server_regular.dot,10,7,Compressed,"['7/7', '10/27', '20/55', '12/36', '10/40', '39/196', '7/42']","['4/8', '8/32', '16/63', '115/465', '44/178', '1452/8807']","[1, 2, 3, 4, 5, 8]",204664,105,403,1639,9553,7,43,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,model1.dot,35,15,Compressed,"['15/15', '403/5471', '44/579', '39/496', '64/884', '48/826', '49/719', '85/1168', '48/883']","['2/4', '1/7', '9140/45881', '1725/8627', '18377/101803', '25714/143050', '16959/166577', '545306/6127828']","[1, 27, 28, 29, 30, 31, 32, 34]",107581372,795,11041,617224,6593777,9,11371,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.1l_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '10/40', '11/55', '11/66']","['7/14', '8/40', '231/1154', '736/3687', '3858/21766']","[1, 2, 3, 4, 5]",750300,68,250,4840,26661,6,113,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,RSA_BSAFE_C_4.0.4_server_regular.dot,9,8,Compressed,"['8/8', '23/62', '8/24', '8/24', '52/279']","['1/2', '11/43', '8/38', '83/581']","[1, 3, 4, 5]",81412,99,397,103,664,5,6,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,TCP_Windows8_Server.dot,38,13,Compressed,"['13/13', '82/342', '55/325', '43/214', '239/1664', '39/272', '28/170', '83/639', '51/306', '64/450', '75/626', '78/710', '73/467', '49/354', '61/518', '128/1284', '268/2711', '147/1850', '67/538', '59/451', '60/470', '65/556', '61/578', '79/722', '72/670', '85/895', '92/1112']","['98/196', '89/623', '4637/39719', '50329/467272', '32/187', '1921/13417', '4160/29304', '5660/34095', '45/261', '25/365', '2368/37869', '9016/146524', '44/392', '129/1735', '2799/39364', '5020/41589', '472/3332', '42465/802100', '71713/1435492', '39529/671682', '24/468', '14/236', '277/5681', '93036/1808780', '28042/373858', '187416/2995545']","[1, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",110366084,2216,18907,549360,8950086,27,950515,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,Rabo_learnresult_SecureCode_Aut_fix.dot,6,15,Compressed,"['15/15', '36/117', '36/171', '52/290']","['9/18', '4077/17024', '653/2922']","[1, 3, 4]",824188,139,593,4739,19964,4,144,OK
