Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,4_learnresult_MAESTRO_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '10/50']","['9/18', '8784/43919', '31288/156439']","[1, 4, 5]",6116888,116,461,40081,200376,4,788,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.1g_client_regular.dot,10,7,Compressed,"['7/7', '7/21', '21/58', '12/47', '11/44', '26/140', '13/65', '16/94', '15/104']","['7/14', '8/40', '119/594', '113/564', '197/993', '198/996', '1171/5864', '135/678']","[1, 2, 3, 4, 5, 7, 8, 9]",376248,128,580,1948,9743,9,96,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_FreeBSD_Client.dot,12,10,Compressed,"['10/10', '18/46', '58/207', '21/84', '31/120', '70/393', '56/333']","['22/44', '33/132', '170/770', '650/2891', '830/4920', '1112/9678']","[1, 2, 5, 6, 7, 10]",431204,264,1193,2817,18435,7,98,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '114/825', '56/258', '82/445', '54/263', '177/1433', '293/2088', '77/364', '105/545', '116/726', '84/744', '125/982', '771/6942', '85/694', '70/694', '61/629', '75/965', '120/1350', '229/2393', '264/4018', '179/2715', '689/9259', '92/1277', '105/1417']","['10/20', '1/4', '2/9', '2/10', '219/924', '1/6', '2/14', '203/1027', '3668/19488', '6958/40281', '1/7', '376/3097', '222/1973', '63066/1007428', '7999/99846', '10661/119672', '16/239', '356/5344', '73/806', '465/7287', '9651/130735', '448/6436', '58/625', '220/4514']","[1, 8, 11, 12, 13, 14, 18, 21, 22, 24, 26, 27, 28, 38, 39, 40, 41, 42, 43, 44, 46, 48, 56, 57]",14891124,4211,41842,104678,1449792,25,16598,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,TCP_Linux_Server.dot,57,12,Compressed,"['12/12', '17/46', '19/102', '104/529', '104/785', '82/500', '43/300', '31/172', '62/462', '42/449', '52/524', '44/324', '47/424', '89/759', '54/434', '49/473', '50/460', '59/599', '51/475', '107/1183', '53/610', '88/843', '64/564', '58/547', '57/588', '287/2919', '230/2061', '43/438', '135/1697', '267/3283', '71/904', '65/906', '148/1951', '193/2907', '82/905']","['91/182', '83/415', '74/451', '20638/155780', '3/21', '30/173', '1600/11151', '3115/21864', '48/604', '1897/26508', '20981/300080', '8/101', '18/235', '137/1640', '96/984', '42/369', '75/1051', '20748/289714', '43/615', '20958/305289', '7365/118266', '25746/358164', '61635/908682', '1909/26918', '74412/1073921', '487/4226', '2/24', '621/9378', '61/1079', '2/28', '61/1089', '21158/416203', '6980/135181', '159942/2884991']","[1, 2, 3, 7, 11, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 41, 45, 46, 47, 50, 51, 52, 54, 56]",96709836,2959,30135,451066,7055377,35,54851,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,4_learnresult_SecureCode Aut_fix.dot,4,14,Compressed,"['14/14', '33/108', '34/161']","['9/18', '3358/14059']","[1, 3]",413892,81,283,3367,14077,3,29,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_Windows8_Server.dot,38,13,Compressed,"['13/13', '82/342', '50/281', '215/1459', '60/450', '57/506', '220/2023', '54/444', '62/577', '88/1037', '57/297', '106/885', '62/399', '58/430', '53/455', '55/525', '64/587', '63/557', '251/2350', '78/849', '149/1977', '80/881', '76/852', '68/693', '73/870']","['98/196', '89/534', '4230/34705', '6/37', '364/2188', '25/314', '2509/33673', '22/323', '4573/66683', '782/7499', '77/693', '357/1967', '83/930', '22/339', '12/176', '276/4473', '5487/81375', '5848/76378', '4/44', '41/349', '2728/48384', '13167/231277', '6272/95315', '29445/469302']","[1, 5, 6, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 37]",14054404,2194,19739,76517,1157154,25,7063,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/58', '12/36', '12/48', '26/144']","['4/8', '8/32', '16/63', '115/463', '584/2743']","[1, 2, 3, 4, 5]",99360,88,320,727,3309,6,13,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,NSS_3.17.4_server_regular.dot,8,8,Compressed,"['8/8', '20/64', '16/45', '5/20', '8/40', '16/104']","['4/8', '25/124', '288/1439', '1025/5124', '2778/13922']","[1, 3, 4, 5, 6]",802216,73,281,4120,20617,6,173,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.2_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '8/32', '11/55', '12/70']","['7/14', '8/32', '231/926', '593/2854', '24/167']","[1, 2, 3, 4, 5]",103560,67,246,863,3993,6,29,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,miTLS_0.1.3_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '24/86', '36/193']","['9/18', '20/80', '697/3000']","[1, 2, 4]",109864,83,325,726,3098,4,47,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,GnuTLS_3.3.8_server_full.dot,16,11,Compressed,"['11/11', '21/53', '14/40', '15/59', '29/150', '30/134', '15/73', '13/64', '11/66', '13/78', '12/65', '11/58', '11/61']","['1/2', '39/156', '286/1161', '10/41', '1/3', '484/1958', '139/582', '446/1981', '2617/19624', '7414/50209', '2696/20176', '4066/31009']","[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 14, 15]",3064524,206,912,18199,126902,13,681,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.1g_server_regular.dot,16,7,Compressed,"['7/7', '10/27', '19/52', '11/33', '16/62', '27/107', '50/262', '59/352', '14/98', '1/6']","['4/8', '8/40', '16/79', '101/504', '57/284', '246/1241', '1/4', '9562/75006', '10/56']","[1, 2, 3, 4, 5, 7, 10, 14, 15]",1542728,214,1006,10005,77222,10,248,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/58', '12/36', '13/52', '26/147']","['4/8', '8/40', '16/79', '115/574', '1373/6885']","[1, 2, 3, 4, 5]",223664,89,327,1516,7586,6,12,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,TCP_FreeBSD_Client.dot,12,10,Compressed,"['10/10', '18/46', '64/228', '22/88', '44/172', '58/334', '37/215']","['22/44', '33/165', '174/963', '671/3679', '3734/22802', '16761/139689']","[1, 2, 5, 6, 7, 10]",3301148,253,1093,21395,167342,7,524,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,BitVise.dot,66,13,Compressed,"['13/13', '51/154', '22/66', '48/143', '295/1934', '75/520', '41/359', '33/235', '86/585', '43/338', '124/1135', '41/382', '104/1065', '82/455', '181/1902', '54/568', '52/566', '62/708', '520/7386', '61/968', '53/825', '40/604', '62/731', '51/599', '52/623', '130/1665', '61/603', '85/755', '43/402', '61/630', '46/426', '66/495', '41/401', '44/438', '59/771', '60/626', '58/588']","['1/2', '25/99', '47/188', '190/881', '1/7', '1/7', '1/7', '1/6', '1/8', '1/10', '1/10', '1/13', '877/4342', '1114/5698', '15/213', '17/264', '18/278', '1/19', '2/41', '31/652', '2085/37951', '6862/111599', '158/3181', '1932/38436', '18/338', '4800/95455', '6626/105607', '15/256', '29/429', '115/1123', '193/1802', '21600/305831', '24/318', '6404/89994', '1386/15847', '393/5420']","[1, 4, 5, 6, 16, 18, 19, 20, 22, 23, 26, 27, 29, 30, 34, 35, 36, 37, 46, 47, 48, 49, 50, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65]",11861352,3000,30664,54986,826332,37,9855,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,NSS_3.17.4_server_regular.dot,8,8,Compressed,"['8/8', '20/64', '16/45', '5/20', '8/40', '16/104']","['4/8', '24/95', '284/1135', '739/3509', '11/76']","[1, 3, 4, 5, 6]",199628,73,281,1062,4823,6,57,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,RSA_BSAFE_C_4.0.4_server_regular.dot,9,8,Compressed,"['8/8', '23/62', '8/24', '8/24', '44/244']","['1/2', '11/54', '8/46', '147/1172']","[1, 3, 4, 5]",85176,91,362,167,1274,5,16,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,10_learnresult_MasterCard_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '10/50']","['9/18', '8784/43919', '31288/156439']","[1, 4, 5]",6116888,116,461,40081,200376,4,830,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,model4.dot,34,14,Compressed,"['14/14', '27/68', '38/140', '106/520', '32/186', '592/4137', '32/213', '117/1165', '89/678', '121/995', '160/1284', '71/518', '39/260', '362/2917', '22/169', '67/500', '27/223', '95/657']","['1/2', '211/844', '2988/12778', '9/47', '3/19', '91/513', '7840/90188', '309/5465', '2000/30128', '6439/93014', '2/32', '16/155', '3/39', '114/890', '5/83', '976/7762', '1676/14374']","[1, 2, 3, 7, 9, 17, 18, 19, 20, 21, 23, 24, 26, 30, 31, 32, 33]",3305712,2011,14644,22683,256333,18,1740,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,NSS_3.17.4_client_full.dot,11,12,Compressed,"['12/12', '23/58', '8/23', '11/44', '5/20', '12/59', '6/29', '26/165', '2/10']","['1/2', '58/232', '336/1343', '1146/4583', '225/993', '65/389', '191/1336', '9551/57486']","[1, 2, 3, 4, 6, 7, 8, 10]",1610736,105,420,11573,66364,9,279,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,4_learnresult_PIN_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '13/65']","['9/18', '2775/11189', '703/3203']","[1, 4, 5]",715932,119,476,3487,14410,4,82,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,Volksbank_learnresult_MAESTRO_fix.dot,7,14,Compressed,"['14/14', '19/52', '27/106', '45/248', '93/504']","['51/102', '163/652', '3178/16266', '14/58']","[1, 2, 3, 5]",712324,198,924,3406,17078,5,77,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,NSS_3.17.4_client_regular.dot,7,8,Compressed,"['8/8', '15/38', '3/9', '2/8', '9/45', '15/98']","['1/2', '48/192', '384/1535', '261/1225', '336/1701']","[1, 2, 3, 4, 5]",197628,52,206,1030,4655,6,38,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,Rabo_learnresult_SecureCode_Aut_fix.dot,6,15,Compressed,"['15/15', '36/117', '36/171', '49/275']","['9/18', '10749/53744', '14570/75223']","[1, 3, 4]",3374252,136,578,25328,128985,4,246,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '114/825', '56/258', '82/445', '54/263', '177/1433', '293/2093', '78/372', '91/422', '440/3464', '106/819', '86/784', '345/2855', '74/470', '105/738', '69/688', '71/767', '64/664', '97/719', '111/1319', '159/2081', '158/2074', '176/2346', '715/8723', '89/1180', '116/1449']","['10/20', '1/4', '2/9', '2/10', '220/1147', '1/6', '2/14', '205/1235', '3698/23641', '3023/20352', '83620/557280', '2/15', '3/35', '2839/17398', '124233/866714', '1418550/23833859', '122716/1515620', '20/304', '58/355', '1996/14476', '678/9464', '7194/105867', '7839/107164', '451/6912', '2535/21959', '4819/106987']","[1, 8, 11, 12, 13, 14, 18, 21, 22, 24, 30, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 56, 57]",241872144,4114,38067,1784717,27210847,27,278607,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,TCP_Windows8_Client.dot,13,10,Compressed,"['10/10', '18/46', '176/1018', '37/258', '47/380', '67/483']","['22/44', '43/215', '1728/10846', '1/7', '3219/18634']","[1, 2, 9, 10, 11]",881892,355,2195,5013,29746,6,104,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,learnresult_fix.dot,9,15,Compressed,"['15/15', '51/192', '23/97', '70/381', '51/278', '63/364']","['9/18', '3354/13415', '595/2425', '91/616', '201/1699']","[1, 4, 5, 7, 8]",812244,273,1327,4250,18173,6,155,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,model4.dot,34,14,Compressed,"['14/14', '27/68', '38/140', '153/746', '25/162', '115/647', '283/1845', '173/1284', '120/1274', '123/1273', '88/778', '130/1100', '182/1510', '17/150', '300/2795', '30/275', '27/204', '30/254', '84/718']","['1/2', '211/1055', '5692/31742', '1284/7673', '4340/27940', '2/11', '3/42', '33703/252327', '179/3751', '76538/1587196', '74326/1303178', '2/27', '28/298', '3/39', '4/47', '26/299', '1082/8649', '424/3390']","[1, 2, 3, 9, 10, 12, 16, 18, 19, 20, 21, 24, 26, 27, 30, 31, 32, 33]",28870452,1959,15237,197848,3227666,19,10911,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.2_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '10/40', '11/55', '11/66']","['7/14', '8/40', '231/1154', '736/3687', '3858/21766']","[1, 2, 3, 4, 5]",750300,68,250,4840,26661,6,139,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '4/12', '7/28', '14/78']","['1/2', '28/140', '136/679', '2049/10244']","[1, 2, 3, 4]",413448,48,164,2214,11065,5,97,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,NSS_3.17.4_client_full.dot,11,12,Compressed,"['12/12', '23/58', '8/23', '11/44', '5/20', '12/60', '5/24', '27/172']","['1/2', '58/290', '336/1679', '1155/5774', '5185/25924', '9209/46044', '1728/8639']","[1, 2, 3, 4, 6, 7, 8]",3100496,103,413,17672,88352,8,933,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '12/35', '14/55', '27/144', '27/121', '9/41']","['1/2', '42/168', '336/1354', '7/29', '1/3', '726/2916']","[1, 2, 3, 4, 6, 8]",201156,124,466,1113,4472,7,61,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,Rabo_learnresult_MAESTRO_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '13/65']","['9/18', '2775/11189', '703/3203']","[1, 4, 5]",715932,119,476,3487,14410,4,59,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.2_client_full.dot,9,10,Compressed,"['10/10', '12/34', '28/77', '43/174', '14/71', '6/30', '21/126']","['8/16', '11/55', '270/1349', '3601/18016', '4402/22011', '2273/12981']","[1, 2, 3, 6, 7, 8]",1641240,134,522,10565,54428,7,421,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,Volksbank_learnresult_MAESTRO_fix.dot,7,14,Compressed,"['14/14', '19/52', '26/102', '45/248', '96/520']","['51/102', '163/815', '8061/48339', '196/1007']","[1, 2, 3, 5]",1547712,200,936,8471,50263,5,172,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSH.dot,31,22,Compressed,"['22/22', '43/108', '102/292', '86/256', '60/229', '171/773', '43/169', '72/418', '46/321', '79/535', '92/627', '93/720', '100/819', '67/500', '115/1169', '147/768', '183/1235', '132/1113', '86/513', '93/557', '96/640', '104/723', '151/1021']","['1/2', '24/96', '78/311', '264/1243', '2218/10719', '2296/11437', '6435/32499', '3/21', '383/1792', '235/1910', '308/2805', '58/580', '4668/51430', '327/3198', '27435/319619', '3/27', '1/11', '10835/108144', '103/874', '13/117', '10664/102939', '77999/944881']","[1, 2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, 25, 26, 27, 28, 29]",24811676,2183,13528,144351,1594655,23,10477,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,NSS_3.17.4_client_regular.dot,7,8,Compressed,"['8/8', '15/38', '3/9', '2/8', '9/45', '15/98']","['1/2', '48/240', '384/1919', '1025/5124', '3329/17338']","[1, 2, 3, 4, 5]",838796,52,206,4787,24623,6,100,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,4_learnresult_MAESTRO_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '13/65']","['9/18', '2775/11189', '703/3203']","[1, 4, 5]",715932,119,476,3487,14410,4,72,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '17/60', '12/47', '8/39', '17/92', '18/118', '3/20']","['1/2', '28/140', '336/1679', '377/1891', '1473/7389', '9232/69187', '6/37']","[1, 2, 4, 5, 6, 8, 11]",1742488,98,422,11453,80325,8,462,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,1_learnresult_MasterCard_fix.dot,5,15,Compressed,"['15/15', '21/57', '89/413']","['54/108', '174/870']","[1, 2]",85084,125,485,228,978,3,32,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_FreeBSD_Server.dot,55,13,Compressed,"['13/13', '109/478', '43/191', '29/145', '121/841', '41/277', '95/666', '53/408', '50/422', '48/420', '71/753', '51/442', '79/708', '55/512', '66/725', '92/926', '109/1215', '344/3429', '82/1060', '118/1486', '396/6180', '92/1293', '78/1168', '87/1111', '184/2465', '40/339', '57/539', '154/1762', '51/395']","['98/196', '89/356', '4378/29529', '9534/64715', '5/25', '436/2770', '37/355', '157/1528', '2388/31590', '93/991', '985/9306', '53/563', '53/656', '166/2159', '801/12251', '4657/65933', '105/1052', '51/713', '8806/106693', '24/415', '3/52', '133/2384', '1513/28198', '4651/85204', '23569/345873', '16124/233909', '214/2680', '43549/650945']","[1, 6, 7, 8, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 27, 29, 35, 36, 37, 43, 44, 45, 46, 48, 49, 50, 54]",24954752,2808,30369,122672,1681041,29,10631,OK
