2022-01-20 13:19:54 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:19:54 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:19:54 INFO Benchmarking |SUL name: etinydtls_ecdhe_cert_req.dot
2022-01-20 13:19:54 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/etinydtls_ecdhe_cert_req.dot
2022-01-20 13:19:54 INFO Benchmarking |Seed: 1642681194450
2022-01-20 13:19:54 INFO Benchmarking |Cache: Y
2022-01-20 13:19:54 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(w,2)
2022-01-20 13:19:54 INFO Benchmarking |Method: L*M
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':11,'CESize':7}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':12,'CESize':6}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':3,'HypSize':13,'CESize':6}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':4,'HypSize':18,'CESize':8}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':5,'HypSize':19,'CESize':10}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':6,'HypSize':20,'CESize':6}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':7,'HypSize':23,'CESize':6}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':8,'HypSize':25,'CESize':6}
2022-01-20 13:19:55 INFO EQWrapperHypSize |EQStats:{'Iter':9,'HypSize':26,'CESize':8}
2022-01-20 13:19:56 INFO EQWrapperHypSize |EQStats:{'Iter':10,'HypSize':27,'CESize':0}
2022-01-20 13:19:56 INFO Benchmarking |Rounds: 10
2022-01-20 13:19:56 INFO Benchmarking |MQ [Resets]: 4966
2022-01-20 13:19:56 INFO Benchmarking |MQ [Symbols]: 37175
2022-01-20 13:19:56 INFO Benchmarking |EQ [Resets]: 255126
2022-01-20 13:19:56 INFO Benchmarking |EQ [Symbols]: 2491536
2022-01-20 13:19:56 INFO SimpleProfiler |Learning [ms]: 103
2022-01-20 13:19:56 INFO SimpleProfiler |Searching for counterexample [ms]: 1488
2022-01-20 13:19:56 INFO Benchmarking |Qsize: 27
2022-01-20 13:19:56 INFO Benchmarking |Isize: 10
2022-01-20 13:19:56 INFO Benchmarking |Equivalent: OK
2022-01-20 13:19:56 INFO Benchmarking |Info: N/A
