2022-01-20 13:19:48 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:19:48 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:19:48 INFO Benchmarking |SUL name: GnuTLS_3.3.12_client_full.dot
2022-01-20 13:19:48 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/TLS/GnuTLS_3.3.12_client_full.dot
2022-01-20 13:19:48 INFO Benchmarking |Seed: 1642681188101
2022-01-20 13:19:48 INFO Benchmarking |Cache: Y
2022-01-20 13:19:48 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=1;}
2022-01-20 13:19:48 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,1)
2022-01-20 13:19:48 INFO Benchmarking |Method: L*M
2022-01-20 13:19:48 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':4,'CESize':0}
2022-01-20 13:19:48 INFO Benchmarking |Rounds: 1
2022-01-20 13:19:48 INFO Benchmarking |MQ [Resets]: 588
2022-01-20 13:19:48 INFO Benchmarking |MQ [Symbols]: 1740
2022-01-20 13:19:48 INFO Benchmarking |EQ [Resets]: 404
2022-01-20 13:19:48 INFO Benchmarking |EQ [Symbols]: 2045
2022-01-20 13:19:48 INFO SimpleProfiler |Learning [ms]: 18
2022-01-20 13:19:48 INFO SimpleProfiler |Searching for counterexample [ms]: 45
2022-01-20 13:19:48 INFO Benchmarking |Qsize: 9
2022-01-20 13:19:48 INFO Benchmarking |Isize: 12
2022-01-20 13:19:48 INFO Benchmarking |Equivalent: NOK
2022-01-20 13:19:48 INFO Benchmarking |Info: N/A
