2022-01-20 13:19:01 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:19:01 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:19:01 INFO Benchmarking |SUL name: openssl-1.1.1b_all_cert_none_nreq.dot
2022-01-20 13:19:01 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/openssl-1.1.1b_all_cert_none_nreq.dot
2022-01-20 13:19:01 INFO Benchmarking |Seed: 1642681141151
2022-01-20 13:19:01 INFO Benchmarking |Cache: Y
2022-01-20 13:19:01 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(wp,1)
2022-01-20 13:19:01 INFO Benchmarking |Method: L*M
2022-01-20 13:19:01 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':11,'CESize':8}
2022-01-20 13:19:01 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':12,'CESize':7}
2022-01-20 13:19:01 INFO EQWrapperHypSize |EQStats:{'Iter':3,'HypSize':13,'CESize':5}
2022-01-20 13:19:02 INFO EQWrapperHypSize |EQStats:{'Iter':4,'HypSize':14,'CESize':0}
2022-01-20 13:19:02 INFO Benchmarking |Rounds: 4
2022-01-20 13:19:02 INFO Benchmarking |MQ [Resets]: 4233
2022-01-20 13:19:02 INFO Benchmarking |MQ [Symbols]: 20259
2022-01-20 13:19:02 INFO Benchmarking |EQ [Resets]: 13055
2022-01-20 13:19:02 INFO Benchmarking |EQ [Symbols]: 73254
2022-01-20 13:19:02 INFO SimpleProfiler |Learning [ms]: 90
2022-01-20 13:19:02 INFO SimpleProfiler |Searching for counterexample [ms]: 439
2022-01-20 13:19:02 INFO Benchmarking |Qsize: 14
2022-01-20 13:19:02 INFO Benchmarking |Isize: 16
2022-01-20 13:19:02 INFO Benchmarking |Equivalent: OK
2022-01-20 13:19:02 INFO Benchmarking |Info: N/A
