2022-01-20 13:19:35 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:19:35 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:19:35 INFO Benchmarking |SUL name: openssl-1.1.1b_all_cert_nreq.dot
2022-01-20 13:19:35 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/openssl-1.1.1b_all_cert_nreq.dot
2022-01-20 13:19:35 INFO Benchmarking |Seed: 1642681174987
2022-01-20 13:19:35 INFO Benchmarking |Cache: Y
2022-01-20 13:19:35 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=1;}
2022-01-20 13:19:35 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,1)
2022-01-20 13:19:35 INFO Benchmarking |Method: L*M
2022-01-20 13:19:35 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':11,'CESize':6}
2022-01-20 13:19:35 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':15,'CESize':6}
2022-01-20 13:19:36 INFO EQWrapperHypSize |EQStats:{'Iter':3,'HypSize':17,'CESize':7}
2022-01-20 13:19:36 INFO EQWrapperHypSize |EQStats:{'Iter':4,'HypSize':18,'CESize':8}
2022-01-20 13:19:37 INFO EQWrapperHypSize |EQStats:{'Iter':5,'HypSize':19,'CESize':8}
2022-01-20 13:19:37 INFO EQWrapperHypSize |EQStats:{'Iter':6,'HypSize':20,'CESize':9}
2022-01-20 13:19:38 INFO EQWrapperHypSize |EQStats:{'Iter':7,'HypSize':21,'CESize':10}
2022-01-20 13:19:39 INFO EQWrapperHypSize |EQStats:{'Iter':8,'HypSize':22,'CESize':0}
2022-01-20 13:19:39 INFO Benchmarking |Rounds: 8
2022-01-20 13:19:39 INFO Benchmarking |MQ [Resets]: 8064
2022-01-20 13:19:39 INFO Benchmarking |MQ [Symbols]: 46523
2022-01-20 13:19:39 INFO Benchmarking |EQ [Resets]: 18159
2022-01-20 13:19:39 INFO Benchmarking |EQ [Symbols]: 118757
2022-01-20 13:19:39 INFO SimpleProfiler |Learning [ms]: 106
2022-01-20 13:19:39 INFO SimpleProfiler |Searching for counterexample [ms]: 3748
2022-01-20 13:19:39 INFO Benchmarking |Qsize: 22
2022-01-20 13:19:39 INFO Benchmarking |Isize: 16
2022-01-20 13:19:39 INFO Benchmarking |Equivalent: OK
2022-01-20 13:19:39 INFO Benchmarking |Info: N/A
