2022-01-20 13:27:13 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:27:13 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:27:14 INFO Benchmarking |SUL name: openssl-1.1.1b_all_cert_none_nreq.dot
2022-01-20 13:27:14 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/openssl-1.1.1b_all_cert_none_nreq.dot
2022-01-20 13:27:14 INFO Benchmarking |Seed: 1642681633863
2022-01-20 13:27:14 INFO Benchmarking |Cache: Y
2022-01-20 13:27:14 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=2;}
2022-01-20 13:27:14 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,2)
2022-01-20 13:27:14 INFO Benchmarking |Method: L*M
2022-01-20 13:28:00 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':11,'CESize':8}
2022-01-20 13:28:47 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':12,'CESize':9}
2022-01-20 13:29:46 INFO EQWrapperHypSize |EQStats:{'Iter':3,'HypSize':13,'CESize':10}
2022-01-20 13:30:44 INFO EQWrapperHypSize |EQStats:{'Iter':4,'HypSize':14,'CESize':0}
2022-01-20 13:30:44 INFO Benchmarking |Rounds: 4
2022-01-20 13:30:44 INFO Benchmarking |MQ [Resets]: 4268
2022-01-20 13:30:44 INFO Benchmarking |MQ [Symbols]: 21979
2022-01-20 13:30:44 INFO Benchmarking |EQ [Resets]: 174681
2022-01-20 13:30:44 INFO Benchmarking |EQ [Symbols]: 1310427
2022-01-20 13:30:44 INFO SimpleProfiler |Learning [ms]: 47
2022-01-20 13:30:44 INFO SimpleProfiler |Searching for counterexample [ms]: 210498
2022-01-20 13:30:44 INFO Benchmarking |Qsize: 14
2022-01-20 13:30:44 INFO Benchmarking |Isize: 16
2022-01-20 13:30:44 INFO Benchmarking |Equivalent: OK
2022-01-20 13:30:44 INFO Benchmarking |Info: N/A
