2022-01-20 13:19:10 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:19:10 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:19:10 INFO Benchmarking |SUL name: Rabo_learnresult_SecureCode_Aut_fix.dot
2022-01-20 13:19:10 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/Bankcard/Rabo_learnresult_SecureCode_Aut_fix.dot
2022-01-20 13:19:10 INFO Benchmarking |Seed: 1642681150075
2022-01-20 13:19:10 INFO Benchmarking |Cache: Y
2022-01-20 13:19:10 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=hsi;ExtraStates=1;}
2022-01-20 13:19:10 INFO Benchmarking |EquivalenceOracle: SouchaCTT(hsi,1)
2022-01-20 13:19:10 INFO Benchmarking |Method: L*M
2022-01-20 13:19:10 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':6,'CESize':0}
2022-01-20 13:19:10 INFO Benchmarking |Rounds: 1
2022-01-20 13:19:10 INFO Benchmarking |MQ [Resets]: 1365
2022-01-20 13:19:10 INFO Benchmarking |MQ [Symbols]: 5640
2022-01-20 13:19:10 INFO Benchmarking |EQ [Resets]: 2351
2022-01-20 13:19:10 INFO Benchmarking |EQ [Symbols]: 12654
2022-01-20 13:19:10 INFO SimpleProfiler |Learning [ms]: 29
2022-01-20 13:19:10 INFO SimpleProfiler |Searching for counterexample [ms]: 142
2022-01-20 13:19:10 INFO Benchmarking |Qsize: 6
2022-01-20 13:19:10 INFO Benchmarking |Isize: 15
2022-01-20 13:19:10 INFO Benchmarking |Equivalent: OK
2022-01-20 13:19:10 INFO Benchmarking |Info: N/A
