2022-01-20 13:18:53 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:53 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:53 INFO Benchmarking |SUL name: QUICprotocolwith0RTT.dot
2022-01-20 13:18:53 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/QUICprotocol/QUICprotocolwith0RTT.dot
2022-01-20 13:18:53 INFO Benchmarking |Seed: 1642681133186
2022-01-20 13:18:53 INFO Benchmarking |Cache: Y
2022-01-20 13:18:53 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(w,1)
2022-01-20 13:18:53 INFO Benchmarking |Method: L*M
2022-01-20 13:18:53 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':5,'CESize':4}
2022-01-20 13:18:53 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':6,'CESize':6}
2022-01-20 13:18:53 INFO EQWrapperHypSize |EQStats:{'Iter':3,'HypSize':7,'CESize':0}
2022-01-20 13:18:53 INFO Benchmarking |Rounds: 3
2022-01-20 13:18:53 INFO Benchmarking |MQ [Resets]: 237
2022-01-20 13:18:53 INFO Benchmarking |MQ [Symbols]: 994
2022-01-20 13:18:53 INFO Benchmarking |EQ [Resets]: 830
2022-01-20 13:18:53 INFO Benchmarking |EQ [Symbols]: 4465
2022-01-20 13:18:53 INFO SimpleProfiler |Learning [ms]: 16
2022-01-20 13:18:53 INFO SimpleProfiler |Searching for counterexample [ms]: 51
2022-01-20 13:18:53 INFO Benchmarking |Qsize: 7
2022-01-20 13:18:53 INFO Benchmarking |Isize: 5
2022-01-20 13:18:53 INFO Benchmarking |Equivalent: OK
2022-01-20 13:18:53 INFO Benchmarking |Info: N/A
