2022-01-20 13:18:35 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:35 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:35 INFO Benchmarking |SUL name: ctinydtls_psk.dot
2022-01-20 13:18:35 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/ctinydtls_psk.dot
2022-01-20 13:18:35 INFO Benchmarking |Seed: 1642681115533
2022-01-20 13:18:35 INFO Benchmarking |Cache: Y
2022-01-20 13:18:35 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=0;}
2022-01-20 13:18:35 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,0)
2022-01-20 13:18:35 INFO Benchmarking |Method: L*M
2022-01-20 13:18:35 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':8,'CESize':8}
2022-01-20 13:18:35 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':14,'CESize':0}
2022-01-20 13:18:35 INFO Benchmarking |Rounds: 2
2022-01-20 13:18:35 INFO Benchmarking |MQ [Resets]: 786
2022-01-20 13:18:35 INFO Benchmarking |MQ [Symbols]: 4706
2022-01-20 13:18:35 INFO Benchmarking |EQ [Resets]: 138
2022-01-20 13:18:35 INFO Benchmarking |EQ [Symbols]: 967
2022-01-20 13:18:35 INFO SimpleProfiler |Learning [ms]: 42
2022-01-20 13:18:35 INFO SimpleProfiler |Searching for counterexample [ms]: 58
2022-01-20 13:18:35 INFO Benchmarking |Qsize: 25
2022-01-20 13:18:35 INFO Benchmarking |Isize: 7
2022-01-20 13:18:35 INFO Benchmarking |Equivalent: NOK
2022-01-20 13:18:35 INFO Benchmarking |Info: N/A
