2022-01-20 13:30:18 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:30:18 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:30:18 INFO Benchmarking |SUL name: wolfssl-4.0.0_dhe_ecdhe_rsa_cert_req.dot
2022-01-20 13:30:18 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/wolfssl-4.0.0_dhe_ecdhe_rsa_cert_req.dot
2022-01-20 13:30:18 INFO Benchmarking |Seed: 1642681818240
2022-01-20 13:30:18 INFO Benchmarking |Cache: Y
2022-01-20 13:30:18 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=2;}
2022-01-20 13:30:18 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,2)
2022-01-20 13:30:18 INFO Benchmarking |Method: L*M
2022-01-20 13:30:37 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':6,'CESize':6}
2022-01-20 13:31:12 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':10,'CESize':6}
2022-01-20 13:31:47 INFO EQWrapperHypSize |EQStats:{'Iter':3,'HypSize':11,'CESize':6}
2022-01-20 13:32:22 INFO EQWrapperHypSize |EQStats:{'Iter':4,'HypSize':13,'CESize':7}
2022-01-20 13:32:59 INFO EQWrapperHypSize |EQStats:{'Iter':5,'HypSize':14,'CESize':8}
2022-01-20 13:33:35 INFO EQWrapperHypSize |EQStats:{'Iter':6,'HypSize':15,'CESize':7}
2022-01-20 13:34:11 INFO EQWrapperHypSize |EQStats:{'Iter':7,'HypSize':16,'CESize':9}
2022-01-20 13:35:05 INFO EQWrapperHypSize |EQStats:{'Iter':8,'HypSize':20,'CESize':7}
2022-01-20 13:36:02 INFO EQWrapperHypSize |EQStats:{'Iter':9,'HypSize':21,'CESize':7}
2022-01-20 13:37:01 INFO EQWrapperHypSize |EQStats:{'Iter':10,'HypSize':22,'CESize':10}
2022-01-20 13:37:01 INFO EQWrapperHypSize |EQStats:{'Iter':11,'HypSize':23,'CESize':0}
2022-01-20 13:37:01 INFO Benchmarking |Rounds: 11
2022-01-20 13:37:01 INFO Benchmarking |MQ [Resets]: 7655
2022-01-20 13:37:01 INFO Benchmarking |MQ [Symbols]: 46110
2022-01-20 13:37:01 INFO Benchmarking |EQ [Resets]: 131775
2022-01-20 13:37:01 INFO Benchmarking |EQ [Symbols]: 1009175
2022-01-20 13:37:01 INFO SimpleProfiler |Learning [ms]: 60
2022-01-20 13:37:01 INFO SimpleProfiler |Searching for counterexample [ms]: 402736
2022-01-20 13:37:01 INFO Benchmarking |Qsize: 24
2022-01-20 13:37:01 INFO Benchmarking |Isize: 14
2022-01-20 13:37:01 INFO Benchmarking |Equivalent: NOK
2022-01-20 13:37:01 INFO Benchmarking |Info: N/A
