,CTT,MQ,EQ,TC,Rounds,APFD_s2
127,HSI,377,4127,4504,6,0.911352229111308
270,H-ADS,377,4127,4504,6,0.911352229111308
137,Wp,377,7798,8175,6,0.8416213252351429
409,H,385,7823,8208,6,0.8053692690539458
589,SPY-H,382,8682,9064,6,0.7993799822852082
622,SPY,303,10832,11135,6,0.7421865114513476
347,W,377,15429,15806,6,0.7389704331688388
