,CTT,MQ,EQ,TC,Rounds,APFD_s2
200,HSI,2351,54372,56723,9,0.9671952906235431
199,H-ADS,2351,58751,61102,9,0.9665193249914327
591,SPY-H,2245,46925,49170,11,0.9599743907973585
410,H,2169,92687,94856,11,0.9509301280923227
229,W,2291,131208,133499,10,0.9406734803508414
63,Wp,2314,104129,106443,9,0.9377004047458066
631,SPY,2218,90207,92425,12,0.9312703183321138
