,CTT,MQ,EQ,TC,Rounds,APFD
439,H,21591,2417108,2438699,42,0.965669067761762
519,SPYH,23272,2425272,2448544,39,0.9624597178747243
21,HadsInt,36644,2842048,2878692,38,0.9469386786266885
55,Hsi,36644,2849427,2886071,38,0.9468426335376664
641,SPY,33377,3210221,3243598,43,0.9430930856442796
28,Wp,33749,8130087,8163836,42,0.8947415371692226
44,W,34625,15527037,15561662,40,0.8115995258090042
