,CTT,MQ,EQ,TC,Rounds,APFD_s2
193,Wp,320,3741,4061,5,0.9149275794988347
15,HSI,320,5661,5981,5,0.877946898052736
196,H-ADS,320,5661,5981,5,0.877946898052736
467,SPY,245,9684,9929,6,0.8326551936670583
226,W,320,11053,11373,5,0.7942781062809376
507,SPY-H,281,12269,12550,6,0.7836991274870472
423,H,245,12533,12778,6,0.776177796182515
