,CTT,MQ,EQ,TC,Rounds,APFD_s2
219,HSI,810,2520,3330,8,0.9498321704695456
124,H-ADS,819,2669,3488,8,0.9492362813501792
139,W,744,13888,14632,8,0.8203130303601736
60,Wp,726,25789,26515,8,0.8125551574580426
372,H,746,14634,15380,8,0.8034169338110504
602,SPY-H,667,14759,15426,9,0.792049783141618
588,SPY,592,22098,22690,9,0.7178502734301339
