,CTT,MQ,EQ,TC,Rounds,APFD_s2
180,HSI,14825,3649314,3664139,22,0.9462310231287855
47,H-ADS,14889,5478785,5493674,22,0.9212610185862354
421,H,12788,6159715,6172503,24,0.9132087345507088
533,SPY,13446,6648215,6661661,24,0.9074959935109017
498,SPY-H,12992,7893087,7906079,23,0.8901708810880169
280,Wp,13432,7337312,7350744,24,0.879161981506008
316,W,14839,16713366,16728205,22,0.7877943819647619
