,CTT,MQ,EQ,TC,Rounds,APFD_s2
539,SPY,355,5683,6038,3,0.9486641221374046
39,W,421,14244,14665,3,0.880065203562341
230,H-ADS,421,14244,14665,3,0.880065203562341
238,HSI,421,14244,14665,3,0.880065203562341
313,Wp,421,14244,14665,3,0.880065203562341
616,SPY-H,355,25266,25621,3,0.7929468829516539
368,H,340,31100,31440,3,0.7466762086513995
