,CTT,MQ,EQ,TC,Rounds,APFD_s2
478,SPY,674,20991,21665,4,0.9801501033049279
91,HSI,746,24775,25521,4,0.9713055696153516
211,H-ADS,746,24775,25521,4,0.9713055696153516
362,Wp,746,24775,25521,4,0.9713055696153516
289,W,746,30778,31524,4,0.967154702932643
381,H,659,51749,52408,4,0.9413180989680571
553,SPY-H,680,122938,123618,4,0.8961024862329243
