,CTT,MQ,EQ,TQ,Rounds,APFD
556,SPY,674,20991,21665,4,0.9623179286834518
73,Wp,752,24775,25527,4,0.9466252829090089
88,Hsi,752,24775,25527,4,0.9466252829090089
250,HadsInt,752,24775,25527,4,0.9466252829090089
64,W,752,30778,31530,4,0.9390559995492238
431,H,659,51749,52408,4,0.8905099092499899
504,SPYH,680,122938,123618,4,0.7991009519516418
