,CTT,MQ,EQ,TQ,Rounds,APFD
427,H,28205,3148067,3176272,36,0.9523004153088888
212,Hsi,33960,2592038,2625998,34,0.9473539284202007
637,SPY,32395,4281369,4313764,38,0.9350178898162398
475,SPYH,27477,5033842,5061319,37,0.9339804225883792
54,HadsInt,33910,4627911,4661821,34,0.9125994378522768
315,Wp,31646,8782327,8813973,36,0.8579856621863927
97,W,31248,16398149,16429397,34,0.7090839533910378
