,CTT,MQ,EQ,TC,Rounds,APFD
438,H,579,51363,51942,7,0.9072554049225298
557,SPY,631,60390,61021,8,0.8976612812225455
484,SPYH,574,85005,85579,8,0.8670872323733837
221,Wp,604,95785,96389,7,0.8574481068330257
104,Hsi,592,111130,111722,8,0.8228084439572604
170,HadsInt,592,111130,111722,8,0.8228084439572604
18,W,631,270065,270696,7,0.5185107010346394
