,CTT,MQ,EQ,TC,Rounds,APFD_s2
623,SPY,1647,31795,33442,7,0.9080559722712476
377,H,1786,64241,66027,7,0.7461999205788916
571,SPY-H,1814,71453,73267,6,0.7311123612581871
58,H-ADS,1841,61967,63808,6,0.7092445925010785
126,HSI,1841,61967,63808,6,0.7092445925010785
251,W,1782,88874,90656,7,0.6902680952661098
262,Wp,1756,68081,69837,7,0.6849623239989018
