,CTT,MQ,EQ,TC,Rounds,APFD
415,H,32501,4343570,4376071,29,0.9817377294056842
555,SPYH,40261,4653728,4693989,29,0.9741329934785107
482,SPY,38120,6873898,6912018,32,0.9705001598660628
30,HadsInt,40750,4351887,4392637,22,0.9619147665163262
341,Hsi,40896,8038024,8078920,21,0.957015887033584
179,Wp,38513,32033781,32072294,26,0.8671018504882775
272,W,36829,36142595,36179424,23,0.8054107356711925
