,CTT,MQ,EQ,TC,Rounds,APFD_s2
441,H,12332,1642534,1654866,26,0.9524456280765137
536,SPY-H,13201,701594,714795,23,0.9278062152473249
345,HSI,16528,1252207,1268735,21,0.9276436552121132
102,Wp,14513,2120493,2135006,20,0.9194105806181758
134,H-ADS,16849,1667129,1683978,22,0.8990089630142601
642,SPY,14774,1104923,1119697,21,0.884462710378469
45,W,14903,3236039,3250942,18,0.8534900002682566
