,CTT,MQ,EQ,TC,Rounds,APFD_s2
447,H,1386,9433,10819,9,0.9475524723936343
99,HSI,1194,36191,37385,9,0.938782884053264
325,H-ADS,1194,36478,37672,9,0.9379125730756739
604,SPY-H,1184,27192,28376,10,0.9167937033127639
65,Wp,1135,53721,54856,8,0.9142944137707048
543,SPY,1053,55093,56146,10,0.8686119681714842
332,W,1191,121969,123160,9,0.794611683988308
