,CTT,MQ,EQ,TC,Rounds,APFD_s2
461,SPY,355,5683,6038,3,0.969611387257117
24,W,421,14244,14665,3,0.9290038032836271
132,HSI,421,14244,14665,3,0.9290038032836271
145,H-ADS,421,14244,14665,3,0.9290038032836271
320,Wp,421,14244,14665,3,0.9290038032836271
503,SPY-H,355,25266,25621,3,0.8774335366772105
394,H,340,31100,31440,3,0.8500433047145655
