,CTT,MQ,EQ,TC,Rounds,APFD_s2
128,Hsi,405,9800,10205,7,0.9418657345670529
192,HadsInt,405,9857,10262,7,0.9415388558502005
508,SPYH,466,6754,7220,6,0.9245411625738728
437,H,464,7501,7965,7,0.9178327198166508
83,Wp,418,19045,19463,7,0.8994829373024334
560,SPY,415,10128,10543,6,0.8884062062381832
195,W,418,38041,38459,7,0.8130012295097191
