,CTT,MQ,EQ,TC,Rounds,APFD
50,Wp,463,6703,7166,5,0.9362157283351502
59,HadsInt,463,9519,9982,5,0.9197114088452837
327,Hsi,463,9519,9982,5,0.9197114088452837
579,SPY,363,5869,6232,4,0.9009682221518913
36,W,463,10031,10494,5,0.9002063039936233
617,SPYH,366,27818,28184,5,0.7735637842716648
448,H,366,28071,28437,5,0.7683417144330743
