,CTT,MQ,EQ,TC,Rounds,APFD
532,SPY,450,4007,4457,5,0.9686202686202686
530,SPYH,501,10550,11051,4,0.9245379141930866
452,H,486,11143,11629,4,0.9205397667466633
29,Wp,490,21891,22381,5,0.9152869352869353
67,HadsInt,490,31677,32167,5,0.8832967032967033
343,Hsi,490,31677,32167,5,0.8832967032967033
2,W,490,65485,65975,5,0.8109174350553661
