,CTT,MQ,EQ,TC,Rounds,APFD_s2
520,SPY,648,25872,26520,4,0.7535935143288084
76,HadsInt,649,13629,14278,3,0.6747247360482654
164,Wp,649,13629,14278,3,0.6747247360482654
197,W,649,13629,14278,3,0.6747247360482654
255,Hsi,649,13629,14278,3,0.6747247360482654
564,SPYH,664,14194,14858,3,0.6616025641025641
413,H,664,16908,17572,3,0.6001998491704374
