,CTT,MQ,EQ,TC,Rounds,APFD_s2
324,Hsi,313,3708,4021,5,0.8726964205673304
299,Wp,313,3718,4031,5,0.8724402894281872
338,HadsInt,313,3730,4043,5,0.8721329320612153
614,SPY,294,4996,5290,5,0.8221489402574118
521,SPYH,326,7324,7650,5,0.7339501824934366
393,H,326,7968,8294,5,0.7036754818467055
228,W,313,10842,11155,5,0.67337516808606
