,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
128,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '283/1725', '897/6079']","[1, 2, 3, 4, 5, 6, 7]",195872,88,317,1316,8484,7,22,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 419, 1316]","[0, 8, 13, 642, 680, 2405, 8484]",8801,1404,10205,405,9800,[   7   21   42  179  198  491 1404],787,0.9428515604871262,223961.0,Fixed,TLS,57.14285714285714
128,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '283/1725', '897/6079']","[1, 2, 3, 4, 5, 6, 7]",195872,88,317,1316,8484,7,22,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 419, 1316]","[0, 8, 13, 642, 680, 2405, 8484]",8801,1404,10205,405,9800,[   7   21   42  179  198  491 1404],890,0.9428515604871262,223961.0,Fixed,TLS,71.42857142857143
128,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '283/1725', '897/6079']","[1, 2, 3, 4, 5, 6, 7]",195872,88,317,1316,8484,7,22,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 419, 1316]","[0, 8, 13, 642, 680, 2405, 8484]",8801,1404,10205,405,9800,[   7   21   42  179  198  491 1404],2674,0.9428515604871262,223961.0,Fixed,TLS,85.71428571428571
128,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '283/1725', '897/6079']","[1, 2, 3, 4, 5, 6, 7]",195872,88,317,1316,8484,7,22,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 419, 1316]","[0, 8, 13, 642, 680, 2405, 8484]",8801,1404,10205,405,9800,[   7   21   42  179  198  491 1404],8801,0.9428515604871262,223961.0,Fixed,TLS,100.0
192,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '285/1754', '901/6101']","[1, 2, 3, 4, 5, 6, 7]",196140,88,317,1322,8535,7,18,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 421, 1322]","[0, 8, 13, 642, 680, 2434, 8535]",8852,1410,10262,405,9857,[   7   21   42  179  198  493 1410],7,0.9425080300245624,223906.5,Fixed,TLS,14.285714285714285
192,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '285/1754', '901/6101']","[1, 2, 3, 4, 5, 6, 7]",196140,88,317,1322,8535,7,18,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 421, 1322]","[0, 8, 13, 642, 680, 2434, 8535]",8852,1410,10262,405,9857,[   7   21   42  179  198  493 1410],42,0.9425080300245624,223906.5,Fixed,TLS,28.57142857142857
192,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '285/1754', '901/6101']","[1, 2, 3, 4, 5, 6, 7]",196140,88,317,1322,8535,7,18,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 421, 1322]","[0, 8, 13, 642, 680, 2434, 8535]",8852,1410,10262,405,9857,[   7   21   42  179  198  493 1410],111,0.9425080300245624,223906.5,Fixed,TLS,42.857142857142854
192,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '285/1754', '901/6101']","[1, 2, 3, 4, 5, 6, 7]",196140,88,317,1322,8535,7,18,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 421, 1322]","[0, 8, 13, 642, 680, 2434, 8535]",8852,1410,10262,405,9857,[   7   21   42  179  198  493 1410],787,0.9425080300245624,223906.5,Fixed,TLS,57.14285714285714
192,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '285/1754', '901/6101']","[1, 2, 3, 4, 5, 6, 7]",196140,88,317,1322,8535,7,18,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 421, 1322]","[0, 8, 13, 642, 680, 2434, 8535]",8852,1410,10262,405,9857,[   7   21   42  179  198  493 1410],890,0.9425080300245624,223906.5,Fixed,TLS,71.42857142857143
192,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '285/1754', '901/6101']","[1, 2, 3, 4, 5, 6, 7]",196140,88,317,1322,8535,7,18,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 421, 1322]","[0, 8, 13, 642, 680, 2434, 8535]",8852,1410,10262,405,9857,[   7   21   42  179  198  493 1410],2703,0.9425080300245624,223906.5,Fixed,TLS,85.71428571428571
192,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/65', '10/59', '16/48']","['4/8', '1/5', '125/629', '6/38', '285/1754', '901/6101']","[1, 2, 3, 4, 5, 6, 7]",196140,88,317,1322,8535,7,18,OK,[ 7 17 37 49 62 72 88],[  7  34  98 145 210 269 317],"[0, 4, 5, 130, 136, 421, 1322]","[0, 8, 13, 642, 680, 2434, 8535]",8852,1410,10262,405,9857,[   7   21   42  179  198  493 1410],8852,0.9425080300245624,223906.5,Fixed,TLS,100.0
195,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/64', '12/71', '16/48']","['4/8', '1/5', '244/1220', '125/625', '730/4162', '3997/26920']","[1, 2, 3, 4, 5, 6, 7]",779132,90,328,5101,32940,7,16,OK,[ 7 17 37 49 62 74 90],[  7  34  98 145 209 280 328],"[0, 4, 5, 249, 374, 1104, 5101]","[0, 8, 13, 1233, 1858, 6020, 32940]",33268,5191,38459,418,38041,[   7   21   42  298  436 1178 5191],7,0.8146245212044178,206333.5,Fixed,TLS,14.285714285714285
195,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/64', '12/71', '16/48']","['4/8', '1/5', '244/1220', '125/625', '730/4162', '3997/26920']","[1, 2, 3, 4, 5, 6, 7]",779132,90,328,5101,32940,7,16,OK,[ 7 17 37 49 62 74 90],[  7  34  98 145 209 280 328],"[0, 4, 5, 249, 374, 1104, 5101]","[0, 8, 13, 1233, 1858, 6020, 32940]",33268,5191,38459,418,38041,[   7   21   42  298  436 1178 5191],42,0.8146245212044178,206333.5,Fixed,TLS,28.57142857142857
195,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/64', '12/71', '16/48']","['4/8', '1/5', '244/1220', '125/625', '730/4162', '3997/26920']","[1, 2, 3, 4, 5, 6, 7]",779132,90,328,5101,32940,7,16,OK,[ 7 17 37 49 62 74 90],[  7  34  98 145 209 280 328],"[0, 4, 5, 249, 374, 1104, 5101]","[0, 8, 13, 1233, 1858, 6020, 32940]",33268,5191,38459,418,38041,[   7   21   42  298  436 1178 5191],111,0.8146245212044178,206333.5,Fixed,TLS,42.857142857142854
195,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/64', '12/71', '16/48']","['4/8', '1/5', '244/1220', '125/625', '730/4162', '3997/26920']","[1, 2, 3, 4, 5, 6, 7]",779132,90,328,5101,32940,7,16,OK,[ 7 17 37 49 62 74 90],[  7  34  98 145 209 280 328],"[0, 4, 5, 249, 374, 1104, 5101]","[0, 8, 13, 1233, 1858, 6020, 32940]",33268,5191,38459,418,38041,[   7   21   42  298  436 1178 5191],1378,0.8146245212044178,206333.5,Fixed,TLS,57.14285714285714
195,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/64', '12/71', '16/48']","['4/8', '1/5', '244/1220', '125/625', '730/4162', '3997/26920']","[1, 2, 3, 4, 5, 6, 7]",779132,90,328,5101,32940,7,16,OK,[ 7 17 37 49 62 74 90],[  7  34  98 145 209 280 328],"[0, 4, 5, 249, 374, 1104, 5101]","[0, 8, 13, 1233, 1858, 6020, 32940]",33268,5191,38459,418,38041,[   7   21   42  298  436 1178 5191],2067,0.8146245212044178,206333.5,Fixed,TLS,71.42857142857143
195,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/64', '12/71', '16/48']","['4/8', '1/5', '244/1220', '125/625', '730/4162', '3997/26920']","[1, 2, 3, 4, 5, 6, 7]",779132,90,328,5101,32940,7,16,OK,[ 7 17 37 49 62 74 90],[  7  34  98 145 209 280 328],"[0, 4, 5, 249, 374, 1104, 5101]","[0, 8, 13, 1233, 1858, 6020, 32940]",33268,5191,38459,418,38041,[   7   21   42  298  436 1178 5191],6300,0.8146245212044178,206333.5,Fixed,TLS,85.71428571428571
195,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '20/64', '12/47', '13/64', '12/71', '16/48']","['4/8', '1/5', '244/1220', '125/625', '730/4162', '3997/26920']","[1, 2, 3, 4, 5, 6, 7]",779132,90,328,5101,32940,7,16,OK,[ 7 17 37 49 62 74 90],[  7  34  98 145 209 280 328],"[0, 4, 5, 249, 374, 1104, 5101]","[0, 8, 13, 1233, 1858, 6020, 32940]",33268,5191,38459,418,38041,[   7   21   42  298  436 1178 5191],33268,0.8146245212044178,206333.5,Fixed,TLS,100.0
