,CTT,MQ,EQ,TC,Rounds,APFD_s2
453,H,18718,1402829,1421547,26,0.9737454187211312
213,HSI,19212,1328903,1348115,29,0.9715989055961499
5,H-ADS,19770,1786989,1806759,28,0.9680415994154618
80,Wp,18954,1747873,1766827,27,0.964818539068853
608,SPY-H,18992,2461550,2480542,28,0.95317219568439
473,SPY,16528,3007963,3024491,25,0.9301563969437895
154,W,18911,5208600,5227511,27,0.9239293697455976
