,CTT,MQ,EQ,TQ,Rounds,APFD
454,H,651,13689,14340,9,0.9493918908490376
87,Hsi,772,21861,22633,10,0.9400032411909061
168,HadsInt,821,22616,23437,10,0.9382653454955163
105,Wp,772,34275,35047,10,0.9282963683227609
598,SPYH,740,23146,23886,10,0.9234924603725826
638,SPY,493,40137,40630,10,0.9046240990260993
17,W,772,123002,123774,10,0.715702798228149
