,CTT,MQ,EQ,TC,Rounds,APFD
26,Hsi,2638,12778,15416,7,0.9722505730145397
201,HadsInt,2638,12778,15416,7,0.9722505730145397
236,Wp,2571,33393,35964,7,0.9500718347183714
379,H,2456,34451,36907,6,0.9464592427073637
223,W,2596,49175,51771,7,0.9386717361931348
596,SPYH,2066,51951,54017,7,0.9270071084955048
586,SPY,1941,143746,145687,7,0.8605448139346153
