,CTT,MQ,EQ,TC,Rounds,APFD
435,H,1177,44662,45839,10,0.974422488364533
78,Hsi,1446,79693,81139,12,0.9693010989272377
188,HadsInt,1507,81222,82729,12,0.9687267587989502
463,SPYH,1054,78790,79844,13,0.9500254711670354
295,Wp,1481,143184,144665,12,0.946211634674088
526,SPY,1316,143671,144987,13,0.9288976832140053
336,W,1436,629179,630615,12,0.8025961759552183
