,CTT,MQ,EQ,TC,Rounds,APFD
203,Hsi,673,17341,18014,6,0.9557290196782718
123,HadsInt,673,17498,18171,6,0.9550042332657721
400,H,744,9620,10364,7,0.9363778638684352
348,Wp,673,29135,29808,6,0.9247222721091926
528,SPYH,596,17651,18247,7,0.9222079688021141
603,SPY,528,19967,20495,7,0.8893757857197835
249,W,666,77288,77954,6,0.8320522359340123
