,CTT,MQ,EQ,TC,Rounds,APFD_s2
551,SPY,674,20991,21665,4,0.9612960895662445
38,HadsInt,746,24775,25521,4,0.9440507585195252
94,Wp,746,24775,25521,4,0.9440507585195252
106,Hsi,746,24775,25521,4,0.9440507585195252
4,W,746,30778,31524,4,0.9359572769877095
434,H,659,51749,52408,4,0.8855803092322047
600,SPYH,680,122938,123618,4,0.7974175821212661
