,CTT,MQ,EQ,TC,Rounds,APFD_s2
8,Hsi,1031,60155,61186,11,0.9106097228178238
257,HadsInt,1089,61883,62972,11,0.9081943338327104
566,SPYH,1205,73040,74245,11,0.8855079445524262
450,H,1030,96301,97331,11,0.8750553677476605
7,Wp,1003,98268,99271,11,0.8540653757117053
464,SPY,1032,190798,191830,11,0.8474218029186646
291,W,984,358130,359114,11,0.5063817246519675
