,CTT,MQ,EQ,TQ,Rounds,APFD
120,Hsi,313,3708,4021,5,0.8745860363834325
242,Wp,313,3718,4031,5,0.8743440850458951
216,HadsInt,313,3730,4043,5,0.8739811580395893
559,SPY,294,4996,5290,5,0.8274508914394593
594,SPYH,326,7324,7650,5,0.7415884105309319
406,H,326,7968,8294,5,0.7126903476538281
247,W,313,10842,11155,5,0.6750971585839799
