,CTT,MQ,EQ,TC,Rounds,APFD_s2
462,SPY,4424,329619,334043,12,0.86303560327865
190,HSI,4420,339140,343560,10,0.8541780250890424
370,H,3664,366928,370592,13,0.8431355376656064
592,SPY-H,3804,433016,436820,13,0.8394362451889067
283,H-ADS,4423,416591,421014,10,0.829005240055393
52,Wp,4291,391327,395618,12,0.8000893182125923
287,W,4211,485534,489745,12,0.7443558642781152
