,CTT,MQ,EQ,TQ,Rounds,APFD
515,SPY,696,58345,59041,8,0.9395508788567657
466,SPYH,692,63250,63942,8,0.9258336471277353
176,Hsi,607,47110,47717,8,0.9245417439530657
34,HadsInt,607,47326,47933,8,0.9243330125657225
380,H,681,70909,71590,8,0.9194275925228605
12,Wp,579,80488,81067,8,0.8864596553375266
116,W,576,280211,280787,8,0.6721706204761307
