,CTT,MQ,EQ,TC,Rounds,APFD_s2
113,Wp,216,2989,3205,5,0.841952468534747
281,Hsi,216,4909,5125,5,0.772710880305817
365,HadsInt,216,4909,5125,5,0.772710880305817
634,SPY,205,6006,6211,5,0.6684518013631938
152,W,216,8829,9045,5,0.5949908038515634
488,SPYH,210,8529,8739,5,0.55660139204443
446,H,206,9037,9243,5,0.5257311839590322
