,CTT,MQ,EQ,TC,Rounds,APFD_s2
542,SPY,674,20991,21665,4,0.9801501033049279
33,H-ADS,746,24775,25521,4,0.9713055696153516
182,Wp,746,24775,25521,4,0.9713055696153516
265,HSI,746,24775,25521,4,0.9713055696153516
181,W,746,30778,31524,4,0.967154702932643
425,H,659,51749,52408,4,0.9413180989680571
483,SPY-H,680,122938,123618,4,0.8961024862329243
