,CTT,MQ,EQ,TC,Rounds,APFD
202,Hsi,754,20330,21084,6,0.9478516020236089
328,HadsInt,754,20487,21241,6,0.9469918749041852
451,H,873,9620,10493,7,0.9258310593285298
582,SPYH,708,17202,17910,7,0.9184614441208033
323,Wp,754,32773,33527,6,0.9128272267361643
540,SPY,643,19967,20610,7,0.8685384025755021
307,W,750,73375,74125,6,0.8241036332975625
